cenTractCode,nameTract,popTotal,popElder,popForeign,children,averageAge,educationLevel,employment,houseProp,houseRent,houseSize,house1,house2,house3,house3,house5,houseElderAlone,houseElder
8205501001,Sant Pere,2084,20.73,16.8,14.64,43.42,55.2,53.7,55.1,35.6,2.5,29.1,27.1,20.9,15,7.9,35.6,22.9
8205501002,Monestir,1830,17.54,17.5,15.57,42.16,55.8,56.3,54.6,38,2.62,25.2,27.9,20.1,17.9,8.9,29.7,19.5
8205501003,Joan Maragall,1278,25.2,15.3,15.65,44.44,51.4,49.9,67.3,26.5,2.71,23.6,28.4,17.8,18.5,11.7,30.2,26.5
8205501004,Sant Domènec Est,2012,21.97,11.2,16.3,43.2,64.3,53.8,72,23.2,2.9,17.9,27.1,21.7,21.4,11.9,21.1,19.2
8205501005,Sant Domènec Oest,2139,12.3,17.1,21.37,37.88,60.4,60.1,59.2,33.1,2.85,18.1,25.6,23,23.9,9.4,15.7,9.5
8205501006,Sant Francesc,2485,23.86,14.9,15.81,45.24,40.8,50,70.1,22.7,2.79,19.2,30.5,19.1,20.7,10.6,20,22.8
8205501007,La Creu,1068,18.73,18.1,13.39,43.84,47,55,64.5,29.8,2.69,21.7,31.1,21.2,15.1,11,20.9,16.1
8205501008,Can Magí Sud-Borrell,2777,16.96,16,18.26,41.16,50.4,60,66.5,28.4,2.67,22.4,28,21,20.5,8,25.4,15.5
8205501009,Ramon Barnils,1697,22.04,11.2,16.44,43.42,67.4,51.1,77.9,17,3.04,15.4,25,21,23.4,15.2,22.1,20.7
8205501010,Rambla del Celler,1642,17.3,26.2,15.83,41.83,44.9,50.7,55.7,35.3,2.63,24.3,28.5,21.3,17.8,8,27.8,18
8205501011,Pollancreda,1914,17.87,17.8,15.05,42.6,58.7,57.9,66.1,28.2,2.69,20.3,30.6,21.1,20,8,23.9,16.5
8205501012,Torre Negra-Collserola,2585,18.57,24.5,15.2,40.6,63.5,47.6,70.4,23.7,2.93,16.2,28.1,19.3,23.5,12.9,18.5,17.6
