cenTractCode,popTotal
8205501001,2084
8205501002,1830
8205501003,1278
8205501004,2012
8205501005,2139
8205501006,2485
8205501007,1068
8205501008,2777
8205501009,1697
8205501010,1642
8205501011,1914
8205501012,2585
8205501013,1577
8205501014,1004
8205501015,2387
8205501016,1247
8205501017,2189
8205501018,2674
8205501019,1198
8205501020,1512
8205501021,951
8205501022,1620
8205501023,1578
8205501024,2819
8205502001,1685
8205502002,1994
8205502003,1607
8205502004,1350
8205502005,1591
8205502006,2173
8205502007,1711
8205502008,1958
8205502009,1710
8205502010,2219
8205502011,1748
8205502012,1682
8205503001,1908
8205503002,2310
8205503003,2364
8205503004,2172
8205504001,1393
8205504002,1526
8205504003,2046
8205505001,1794
8205505002,1513
8205505003,2480
8205505004,2239
8205505005,1554
8205505006,3308
8205505007,3415
8205505008,1479
8205506001,1453
