cenTractCode,nameTract,popTotal,popElder,children,averageAge,popForeign,popES,popUE,popEUR,popAFR,popNAM,popSAM,popASAN,perSingle,perMarried,perWidowed,perSepDivorced,educationLevel,employment,houseProp,houseRent,houseSize,house1,house2,house3,house3,house5,houseElderAlone,houseElder
8205501001,Sant Pere,2084,20.73,14.64,43.42,16.8,74.24,3.31,1.58,1.29,4.46,13.09,1.73,46.41,32.78,6.14,8.83,55.2,53.7,55.1,35.6,2.5,29.1,27.1,20.9,15,7.9,35.6,22.9
8205501002,Monestir,1830,17.54,15.57,42.16,17.5,73.28,3.28,1.97,1.97,3.77,12.62,3.11,47.84,35.23,4.66,7.94,55.8,56.3,54.6,38,2.62,25.2,27.9,20.1,17.9,8.9,29.7,19.5
8205501003,Joan Maragall,1278,25.2,15.65,44.44,15.3,77.00,2.11,2.35,1.41,2.82,10.09,3.99,42.03,38.99,5.57,7.59,51.4,49.9,67.3,26.5,2.71,23.6,28.4,17.8,18.5,11.7,30.2,26.5
8205501004,Sant Domènec Est,2012,21.97,16.3,43.2,11.2,81.94,3.43,1.19,1.19,2.99,7.76,1.34,44.66,40.50,4.30,7.27,64.3,53.8,72,23.2,2.9,17.9,27.1,21.7,21.4,11.9,21.1,19.2
8205501005,Sant Domènec Oest,2139,12.3,21.37,37.88,17.1,75.46,3.23,3.51,1.96,5.19,8.70,1.68,51.13,35.65,2.26,7.26,60.4,60.1,59.2,33.1,2.85,18.1,25.6,23,23.9,9.4,15.7,9.5
8205501006,Sant Francesc,2485,23.86,15.81,45.24,14.9,79.01,2.77,1.09,2.90,3.26,8.20,2.53,42.96,38.54,7.28,6.32,40.8,50,70.1,22.7,2.79,19.2,30.5,19.1,20.7,10.6,20,22.8
8205501007,La Creu,1068,18.73,13.39,43.84,18.1,69.94,3.37,0.84,0.28,5.62,16.85,2.53,46.15,33.90,5.70,8.55,47,55,64.5,29.8,2.69,21.7,31.1,21.2,15.1,11,20.9,16.1
8205501008,Can Magí Sud-Borrell,2777,16.96,18.26,41.16,16,77.00,2.48,1.51,1.08,4.54,11.02,2.38,47.56,36.55,4.99,6.47,50.4,60,66.5,28.4,2.67,22.4,28,21,20.5,8,25.4,15.5
8205501009,Ramon Barnils,1697,22.04,16.44,43.42,11.2,84.28,4.06,2.12,1.06,2.47,3.71,2.30,44.46,41.61,4.11,6.79,67.4,51.1,77.9,17,3.04,15.4,25,21,23.4,15.2,22.1,20.7
8205501010,Rambla del Celler,1642,17.3,15.83,41.83,26.2,62.89,3.29,2.01,1.65,6.40,19.56,4.39,46.48,32.57,5.33,7.62,44.9,50.7,55.7,35.3,2.63,24.3,28.5,21.3,17.8,8,27.8,18
8205501011,Pollancreda,1914,17.87,15.05,42.6,17.8,75.71,3.13,1.72,0.47,4.08,12.38,2.51,45.19,38.45,4.38,8.09,58.7,57.9,66.1,28.2,2.69,20.3,30.6,21.1,20,8,23.9,16.5
8205501012,Torre Negra-Collserola,2585,18.57,15.2,40.6,24.5,70.50,11.61,3.60,1.51,4.41,5.34,3.02,47.16,38.33,3.02,6.77,63.5,47.6,70.4,23.7,2.93,16.2,28.1,19.3,23.5,12.9,18.5,17.6
8205501013,Torre Blanca Nord,1577,10.97,15.66,40.31,9,85.74,3.04,3.04,0.95,1.33,3.61,2.28,48.69,40.26,1.87,7.49,68.8,61.1,78.6,17.7,3.11,13.6,19.6,21.4,35.3,10.1,25.7,11.8
8205501014,Coll Favà Sud,1004,12.75,15.84,40.58,11.3,82.93,2.69,2.69,0.30,0.60,9.88,0.90,47.94,40.00,3.53,7.35,70.8,60.7,71.6,23.6,2.89,18.8,21.9,22.2,27.3,9.9,31.3,10.8
8205501015,Coll Favà Est,2387,11.1,19.73,38.75,12.1,83.77,3.52,2.14,0.25,2.52,7.30,0.63,48.40,40.31,2.31,7.83,68.5,62.5,73.2,23,3.06,13.2,20.5,25.5,31.5,9.3,18.6,10.7
8205501016,Torrent de Ferrussons,1247,13.55,21.97,39.92,11.7,84.13,5.05,2.16,0.00,1.68,5.29,1.44,46.80,39.66,4.68,7.14,67.7,61.6,62.7,34,2.86,19.2,23.5,20.9,27.2,9.2,42.1,19.5
8205501017,Roquetes,2189,8.27,30.56,34.08,12.5,81.62,4.25,1.51,0.27,1.92,9.60,0.96,53.21,36.16,2.29,6.12,74.8,69.8,68.5,27.2,3.12,13.7,19.3,23.5,32.6,10.9,12.5,2.9
8205501018,Can Sant Joan-Galliners,2674,6.88,27.6,34.75,20.8,71.60,4.38,3.37,1.23,2.02,15.15,2.36,50.38,38.14,1.79,6.38,73.9,70.3,60.6,33.9,2.91,16.8,20.6,30.2,23.3,9,20,3.8
8205501019,Torre Blanca Sud,1198,12.19,16.36,40.7,11.4,82.00,3.75,2.75,1.25,1.75,5.75,2.00,49.25,38.94,3.02,6.78,68.6,60.5,69.5,25.1,3.1,11.5,20.9,28.7,27.9,11,18,10.2
8205501020,Can Magí Nord,1512,7.61,18.65,38.92,8.5,86.51,3.17,1.39,0.60,0.99,6.15,1.39,49.30,40.52,1.40,7.19,61.3,66.6,82.2,16.6,3.01,14.4,19.8,26.1,31.5,8.2,16.2,5.2
